ID,Comment Text
0,"đứa nào tap KSH thì vô ""tuluatsu"" coi giùm"
1,xem r và thấy hài🤣
2,tht
3,sao cười bạn dị😂
4,cầu mấy đứa bênh KSH gặp 1 thằng ny i chang v mới dừa lòng t
5,Nói câu trước đạp câu sau mà tụi nó tin tao cũng quắt đờ heo. Cuối cùng thì người đáng thương là KSR thôi
6,chịu thua ạ
7,Mất internet mấy ngày à mà bảo nó dí nợ dậy🤡 lên cập nhật đi m rồi hẵn tap
8,"haha idol của các bạn ý khôn lắm chứ, ai mà đi nhận yêu lúc ng ta vị thành niên đc, ai mà lại dí nợ trực tiếp dưới danh nghĩa idol. Gia đình người ta nói đc gì khi mà sau lưng làm gì có 1 đội ngũ truyền thông như thế. nhãn hàng mà họ thấy mùi thối như thế thì ng ta cắt quảng cáo rồi. chứ mà tin vu vơ thì mắc gì họ cắt :)) các nhãn hàng ng ta có quen biết truyền thông ng ta có thông tin hết r chứ sao bạn nhỉ"
9,Ng chứ phải bò đâu để nó dắt từ bãi này sang bãi khác v tr
10,hóng chiện nửa mùa
11,"trong vụ này t chỉ thấy vụ nợ là đáng nói thôi á😂, chia tay đòi nợ bình thường mà 700tr won đâu phải là con số nhỏ, nyc mượn tiền mấy bạn chia tay là mấy bạn cho cả 700tr won luôn hả, ừ có nhiêu đâu =)) . đứng trên lập trường chủ nợ t thấy bình thường, ông này cx kh bt bà này 44 vì số tiền đó, còn tình cảm thì t chịu"
12,Chủ kênh anti KSH hả 😂
13,"ê tht, nói cập nhật vs ngta thắc mắc mà zô toàn bênh ksr vs dìm ksh xuống kh😭"
14,"nó bênh gd KSR đó c, nó hóng kh tới mà nói lắm😂"
15,hong hùa theo để mình dc nổi th coi từ lúc bả đăng về hai ng này view và tim bả tăng 1c đáng kể luôn😭 tranh thủ buss tí famee th kk
16,đám tang cũng ko đi quá tồi
17,bà chị ơi hóng thì hóng cho tới nhé chứ lên clip vậy dễ điều hướng dư luận đi lung tung lắm 😀
18,Bà chị ơi hình như được minh oan rồi kìa bà phân tích như bà biết hết vậy 😂
19,Ê má ban đầu ổng bị nói qtr mà tui thấy ổng cũng có sai đâu tr do bà kia die nên ngta thương đâm ra ổng rồi :))) chớ ct lâu r mà
20,"tui cũng thấy d, chuyện tiền bạc chả lq tới ảnh mà kể cả có liên quan gì ảnh đòi thì sao? mượn thì trả chứ mấy ng mắc cười qa, đằng này là còn bồ cũ"
21,giờ bà mẹ deal dc giá r đó🤡
22,"mệt quá lúc yêu kêu ko quan trọng tuổi tác xong giờ đem tuổi tác ra, mxh áp lực nên 44 xong giờ dồn hết lỗi cho oog ksh, mxh hàn với Việt hài vãi =))"
23,@ᶻ ngtinhmuadongg💔 hài tht m ơi😭💔
24,Tr ơi bây đừng ép ck t t sắp mồ côi ck r💔
25,THẬT :)))
26,"(1) Theo mình nghĩ, mốc thời gian hẹn hò của Kim Soo-Huyn và Kim Se-Ro là sai sự thật. Nhưng, nói một khía cạnh nào khác, việc Kim Soo-Huyn đang nổi tiếng và phủ nhận cái việc hẹn hò năm 2015 là hoàn"
27,"Nín, nín liền. Nyc t mà gặp thì có mà tàn canh gió lạnh vs t, t tránh còn hơn tránh tà nhé. Ở đó mà cho mượn tiền vs chẳng đi đám ma 😒"
28,T phe anh Kim
29,Kim Sunoo/Kim Seon Woo😻😝
30,Suýt nữa tui cào bàn phím bồ rồi đó 😞
31,Bồ cùng fandom engene với mk nè 🥰
