ID,Comment Text
0,1 ông 30t yêu 1 em gái vị thành niên mà các bạn cũng bênh được tài ác
1,Thăng tiến ko thì chưa biết . Nhưng hiện tại thì đền hợp đồng ói là chắc r đó .
2,Hết bênh được anh Sulli mới đăng status kìa 😅
3,khó khôi phục duyên ng qua đường
4,trước có 1 vid tarot nói KSH có khả năng thắng kiện cao và sự nghiệp sẽ thăng tiến tưởng bốc bừa bừa mà giờ nó cũng đúng thật ba
5,Rồi phim mong chờ bị đình chỉ bực thật đúng sao quả tạ rơi xuống a
6,Là ảnh k sai đk ạ
7,Không tăng tiến đc đâu nói chứ idol có quả drama chấn động nnay thì chỉ có giảm đi th còn lộ hh vs ksr nx mà
8,Ngôi sao thì lúc nào cũng sáng
9,tưởng 1 đống cậu vàng :)))
10,Biết ngay mà t vẫn tin anh t liêm
11,Kbt thế nào nữa thays bài báo bên hàn phân tích mà lo a quá😭
12,team luôn tin anh liêm từ đầu
13,Tự nhiên kh phải fan xong giờ hiện nhiều quá làm tui quan tâm đến ksh
14,Người lọc fan thành công nhất Kbiz 🫡
15,T tiếc cp của T thui☺️
16,"Dù đúng dù sai người đề hợp đồng vẫn là ổng . Còn cộng động mạng đúng thì xin lỗi là xong , còn sai thì chửi tiếp 🙈🙈"
17,Team U30😂😂😂 nè
18,"k uổng công tui cmt chưởi lộn mấy nay trên phở bò, bảnh chả làm gì sai cả"
19,Bạn người yêu cũ lấy Ck rồi còn bắt trách nhiệm gia đình sợ thật
20,"là lọc fan thì có, mình phe KSH ngay từ đầu"
21,Từ đầu đến cuối mình vẫn tin zai 😂😅😅
22,ý là từ đầu k thích ông này nhma sau drama thì t có thiện cảm ít nhiều =))
23,Người ko cmt hay gì hết im từ đầu và vẫn tin anh
24,ngay từ đầu t đã chọn im lặng rồi và theo dõi anh chưa bao h unfolow gu nhìn ng t vẫn nét lắm
25,Vụ này mà liêm thật là ra đường làm vua luôn😐
26,Ra đời em nể mỗi anh
27,lật đc là ra đời em chỉ nể mỗi anh☺️
28,"Cái tướng đẹp ghê, xin vía body cho con trai tui"
29,+1 âm thầm bên anh 🫳🏻
30,T k phải fan mà từ đầu t vẫn tỉnh 😂
31,+1 từ đầu đến cuối luôn phe anh
32,Ra đời e nể mỗi a
33,"Tin anh từ đầu vụ này , bỏ qua những lời ngta nói"
34,mãi ủng hộ a🥰🥰
35,Đời này em nể mỗi anh🥰🥰🥰
36,Tin tưởng anh từ đầu
37,"sao xài từ ""nếu"" vậy 😂"
38,"💯Tui tin a tui, luôn đứng về a KSH"
39,"Team lý trí, thực tế nè"
40,tội a thật giờ qua hợp tác với J79 .IN thôi
41,Tin ảnh từ đầu nè
42,ê t thấy KSH sai mà tr-sai đẹp triêu😘💗
43,bao giờ có phim mới vậy ạ
44,kh thoát fan vì vụ này nhưng thoát fan vì vụ khác😘😋
45,"Mình ko fan ai cả thấy cả 2 đều đẹp,thích cả 2,tiếc cho bạn gái đó"
46,liêm sắc liếm à liêm đc mỗi vụ bị vu khống còn cái mồm cả cái đầu bay hơi xa
47,Bên Hàn có quan tâm đúng sai đâu 😂 Cứ phốt to to tí là ăn đòn 😂 Kể ra cũng ảo ma.
48,Mãi tin👍💕🍀
49,"Thắng nhưng danh tiếng ko quay lại, nhãn hành quay lưng, giờ chỉ còn fan trung thành thôi"
50,bênh được t củng đến ạ
51,nhớ vụ Jonny deep 😌
52,Ở Vn mấy nhỏ gặp mấy anh vậy khoái lắm quen chu cấp cái tụi nó nói tình yêu k quan trọng tuổi tác.🤣
53,Anh liêm mà ☺️
54,kh fan cũng biết ổng liêm
55,Thích vế sau 😂
56,"nhưng bên Hàn không cần đúng hay sai ,chỉ nghe một phía không cần suy xét mà đã mẵc đĩnh bạn ấy có lỗi."
57,sau những vụ việc gần đây đặc biệt là drama a này mình đã dần hiểu tại sao Phương Nhi gả vào nhà bác Vượng lại cần xoá hết mxh
58,còn t tin anh từ đầu đến h nò
59,"+1 máy only, đáp trả anti từ lúc mới xảy ra scandal😇"
