ID,Comment Text,Token Count
0,thật,1
1,Không,1
2,sớm,1
3,Ha ha,2
4,Tào lao,2
5,Cút,2
6,socc,2
7,Liên thiên,2
8,cứu thương,2
9,hết cứu,2
10,-1 chồng,2
11,+1 jack,2
12,Phong xác,2
13,same,2
14,+1,1
15,khock,2
16,+1,1
17,lồ,2
18,Chuẩn quá,2
19,không,1
20,thất vọng,2
21,Thất vọng,2
22,Tan nát,2
23,chây 97,2
24,bại trận,2
25,wow,2
26,150 rồi,2
27,ừ mời,2
28,đăng lên,2
29,đời tàn,2
30,trời oi,2
31,Quá đã,2
32,hóng,1
33,Hóng,2
34,đẳng cấp,2
35,Má ơi,2
36,Chấn động,2
37,Tới luôn,2
38,phe chồng,2
39,đã gắt,2
40,chồng tao,2
41,Không tin,2
42,mất ngủ,2
43,Chuẩn luôn,2
44,Tồi,2
45,Thương chị,2
46,ê ê,2
47,thua luôn,2
48,Ê,1
49,vãi,1
50,trời ơi,2
51,12 tỷ,2
52,thôi,1
53,đúng đúng,2
54,:,1
55,Ê nha,2
56,Trời oi,2
57,Nản,2
58,ô nô,2
59,hóng tiếp,2
60,Chuẩn,1
61,Thương anh,2
62,Viral,2
63,Có,1
64,i i,2
65,huhu,2
66,-1 fan,2
67,trùng tang,2
68,Không ngờ,2
69,Hóng,2
70,-1 fan,2
71,ngồi hóng,2
72,ké,1
73,Đúng đời,2
74,Thoai,2
75,-1 fan,2
76,;,1
77,-1 fan,2
78,ngồi hóng,2
79,ê,1
80,hi,1
81,-1 chồng,2
82,4444,2
83,Thất vọng,2
84,omg,2
85,Dấu âm,2
86,ủa bà,2
87,ủa,1
88,n,1
89,Xong,1
90,xong,1
91,Haixxx,2
92,hết cứu,2
93,Tưởng bênh,2
94,Hết cứu,2
95,Phong sát,2
96,Hết cứu,2
97,thôi xong,2
98,xa bờ,2
99,Hết cứu,2
100,buồn,1
101,rồi xong,2
102,rồi xong,2
103,Thuaa,2
104,xong luôn,2
105,Cho vừa,2
106,:,1
107,Tiễn luôn,2
108,tàn canh,2
109,Thôi thôi,2
110,ậy,1
111,Cứu dữ,2
112,:,1
113,Ôii,2
114,Hết cứu,2
115,căng đét,2
116,Dispatch mạnh,2
117,hết cứu,2
118,Chưa,1
119,ê,1
120,haiz,2
121,ê má,2
122,ok,1
123,tội bã,2
124,Kk,2
125,wow,2
126,#hot,2
127,haizz,2
128,là sao,2
129,Giờ sao,2
130,Ê,1
131,HẢ?,2
132,wow,2
133,Ê,1
134,Rồi sao,2
135,ờ thì,2
136,uk,1
137,?,1
138,: nghiệp,2
139,nín họng,2
140,nín,1
141,sợ quá,2
142,Hazz,2
143,Hóng,2
144,Quá hóng,2
145,. hóng,2
146,đúng,1
147,n,1
148,ê nha,2
149,jack,1
150,ê,1
151,tình đầu,2
152,vg,2
153,Ê nha,2
154,350 tỷ,2
155,+1 Jack,2
156,oppa,2
157,Sợ,1
158,hóng thôi,2
159,ê,1
160,ê shock,2
161,thất vọng,2
162,Là sao,2
163,Anh,1
164,thánh thần,2
165,Xinh vãi,2
166,hài vậy,2
167,Câm,2
168,Chờ nha,2
169,Chưa liêm,2
170,Quá hay,2
171,chuẩn,1
172,Thôi,1
173,xin mẫu,2
174,Tình đầu,2
175,ngã ngửa,2
176,sao vậy,2
177,nhạc hay,2
178,Tệ,1
179,quá tệ,2
180,Bao biện,2
181,mắc mệt,2
182,:,1
183,có,1
184,hi ah,2
185,đầu,1
186,tim vội,2
187,Sao vậy,2
188,Tui nữa,2
189,nản ngay,2
190,tội đồ,2
191,tội,1
192,Chịu,1
193,thatt,2
194,mom oi,2
195,+1 máy,2
196,Đâu ?,2
197,lạy mụ,2
198,Tôi tin,2
199,cố lên,2
200,hả,1
201,Ê hóng,2
202,Ok,1
203,Buồn thật,2
204,lẹ đi,2
205,cứu ảnh,2
206,thêm đi,2
207,up,1
208,Chịu rồi,2
209,thôi nha,2
210,Hay,1
211,Mời cô,2
212,Chịu thật,2
213,Hết cứu,2
214,chịu,1
215,chịu luôn,2
216,? Chịu,2
217,đã he,2
218,xinh đẹp,2
219,Wow,2
220,Roi sao,2
221,xịt keo,2
222,cỡ penthouse,2
223,Hả,2
224,trấn động,2
225,Đợi,1
226,ê nha,2
227,ê nha,2
228,tuyệt,1
229,Tiếp,1
230,Hic,2
231,cố tình,2
232,Như tên,2
233,Ơ kìa,2
234,:,1
235,đồng cảm,2
236,Thật,1
237,theo chị,2
238,Ké,2
239,ké ạ,2
240,nam mô,2
241,Yêu,1
242,Thôi má,2
243,con người,2
244,Đúng,1
245,Rất bênh,2
246,:,1
247,mc,2
248,u up,2
249,ýe,2
250,tui đó,2
251,Cố chấp,2
252,ê thiệt,2
253,Đúng,1
254,Chuẩn luôn,2
255,Chồng ơi,2
256,Cô này,2
257,thì,1
258,buồn vậy,2
259,tội nghiệp,2
260,Tròi,2
261,Sốc thật,2
262,vai,1
263,đang hóng,2
264,sốc,1
