ID,Token Count,Comment Text,Label
1,19,"Một ông 30 tuổi yêu một em_gái vị_thành_niên mà các bạn cũng bênh được , tài thật .",Không ủng hộ
2,20,"Thăng_tiến hay không thì chưa biết , nhưng hiện_tại thì đền hợp_đồng là chắc_chắn rồi đó .",Không ủng hộ
3,9,Hết bênh được anh Sulli mới đăng status kìa .,Không ủng hộ
4,7,khó khôi_phục duyên người qua đường,Trung lập
5,33,"trước có 1 video tarot nói Kim_Soo_Hyun có khả_năng thắng kiện cao và sự_nghiệp sẽ thăng_tiến , tưởng bốc bừa mà giờ nó cũng đúng thật ba",Ủng hộ
6,16,"Rồi phim mong_chờ bị đình_chỉ , bực thật , đúng là sao quả tạ rơi xuống anh .",Không ủng hộ
7,7,Là ảnh không sai được ạ ?,Trung lập
8,32,"Không tăng_tiến được đâu , tôi nói thật đấy . Idol mà có quả drama chấn_động như thế_này thì chỉ có giảm đi thôi , còn lộ hẹn_hò với Kim_Sae_Ron nữa chứ .",Không ủng hộ
9,7,Ngôi_sao thì lúc_nào cũng sáng .,Không liên quan
10,6,Tưởng một đống cậu vàng .,Không liên quan
11,9,Biết ngay mà tôi vẫn tin anh tôi liêm_khiết .,Ủng hộ
12,17,"Không biết thế_nào nữa , thấy bài báo bên Hàn phân_tích mà lo cho anh quá .",Trung lập
13,7,Team luôn tin anh Liêm từ đầu .,Ủng hộ
14,18,Tự_nhiên không phải fan xong giờ hiện nhiều quá làm tôi quan_tâm đến Kim_Soo_Hyun .,Trung lập
15,8,Người có khả_năng lọc fan thành_công nhất K-biz,Không ủng hộ
16,6,Tao tiếc couple của tao thôi .,Không ủng hộ
17,28,"Dù đúng dù sai , người đề_nghị hợp_đồng vẫn là ông ấy . Còn cộng_đồng mạng đúng thì xin_lỗi là xong , còn sai thì chửi tiếp .",Trung lập
18,4,Team U30 này .,Không liên quan
19,21,"Không uổng công tôi bình_luận chửi lộn mấy nay trên phở bò , Bảnh chả làm gì sai cả .",Ủng hộ
20,15,"Bạn gái cũ lấy chồng rồi còn bắt chịu trách_nhiệm gia_đình , sợ thật .",Ủng hộ
21,14,"Là lọc fan thì_có , mình phe Kim_Soo_Hyun ngay từ đầu .",Ủng hộ
22,8,Từ đầu đến cuối mình vẫn tin zai .,Ủng hộ
23,20,"Ý là từ đầu không thích ông này , nhưng_mà sau drama thì tao có thiện_cảm ít_nhiều .",Ủng hộ
24,13,"Người không bình_luận hay gì hết , im_lặng từ đầu và vẫn tin anh .",Ủng hộ
25,26,"Ngay từ đầu tao đã chọn im_lặng rồi và theo_dõi anh , chưa bao_giờ unfollow . Gu nhìn người của tao vẫn nét lắm .",Ủng hộ
26,11,Vụ này mà liêm_chính thật thì ra đường làm vua luôn .,Trung lập
27,6,Từ khi sinh ra em chỉ nể anh thôi .,Ủng hộ
28,10,Lật kèo được là từ đó em chỉ nể mỗi anh .,Ủng hộ
29,12,"Dáng đẹp quá , xin vía dáng đẹp cho con trai tôi",Không liên quan
30,5,+1 âm_thầm bên_anh,Ủng hộ
31,10,Tôi không phải là fan mà từ đầu tôi vẫn tỉnh_táo .,Trung lập
32,8,"+1 từ đầu đến cuối luôn , phe anh .",Ủng hộ
33,6,Ra_đời em nể mỗi anh .,Ủng hộ
34,14,"Tin anh từ đầu vụ này , bỏ_qua những lời người ta nói .",Ủng hộ
35,4,Mãi ủng_hộ anh .,Ủng hộ
36,6,Đời này em nể mỗi anh .,Ủng hộ
37,5,Tin_tưởng anh từ đầu .,Ủng hộ
38,8,"Sao lại dùng từ "" nếu "" vậy ?",Trung lập
39,13,"Tôi tin anh tôi , luôn đứng về anh Kim_Soo_Hyun .",Ủng hộ
40,7,"Team lý_trí , thực_tế này .",Trung lập
41,13,"Tội anh thật , giờ qua hợp_tác với J 79 . IN thôi .",Ủng hộ
42,5,Ảnh từ đầu nè .,Không liên quan
43,15,"Ê tao thấy Kim_Soo_Hyun sai mà trời , sai đẹp triêu .",Không ủng hộ
44,7,Bao_giờ có phim mới vậy ạ ?,Không liên quan
45,12,"Không thoát fan vì vụ này , nhưng thoát fan vì vụ khác .",Trung lập
46,20,"Mình không phải fan của ai cả , thấy cả hai đều đẹp , thích cả hai , tiếc cho bạn gái đó .",Trung lập
47,20,"liêm_sỉ liêm à , liêm được mỗi vụ bị vu_khống , còn cái mồm cả cái đầu bay_hơi xa .",Không ủng hộ
48,22,"Bên Hàn có quan_tâm đúng_sai đâu , cứ phốt to to tí là ăn đòn , kể_ra cũng ảo ma .",Trung lập
49,22,"Thắng nhưng danh_tiếng không quay lại , nhãn hàng quay lưng , giờ chỉ còn fan trung_thành thôi .",Không ủng hộ
50,6,Có bênh được tao cũng đến ạ .,Không ủng hộ
51,6,Nhớ vụ Johnny_Depp .,Trung lập
52,26,"Ở Việt_Nam mấy cô gặp mấy anh như_vậy là thích lắm , quen rồi chu_cấp cho tụi nó , xong tụi nó nói tình_yêu không quan_trọng tuổi_tác .",Không liên quan
53,3,Anh Liêm mà .,Không liên quan
54,6,Không phải fan cũng biết ông ấy liêm_khiết .,Ủng hộ
55,3,Tôi thích phần sau .,Không liên quan
56,29,"Nhưng ở Hàn_Quốc không cần đúng_sai , chỉ nghe một phía , không cần suy_xét mà đã mặc_định bạn ấy có lỗi .",Ủng hộ
