ID,Comment Text,Token Count,Label
0,"Kiến_nghị Quốc_hội trừng_phạt Lee Jin-ho Hãy cùng nhau ngăn_chặn những thiệt_hại gây ra bởi YouTuber kiêm phóng_viên giải_trí Lee Jin-ho , người liên_tục gây ra những hành_vi sai_trái . # ViệnNghiênCứuGaroSero # Gaseyeon # KiếnNghịQuốcHội # XinHãyThamGia",71,Không liên quan
1,"Cách_thức kiến_nghị nhanh_chóng và dễ_dàng = Không cần đăng_ký thành_viên , sau khi nhấn vào [ Xác_thực không phải thành_viên ] , đừng nhấn vào nút màu đỏ dưới cùng mà hãy nhấn vào [ Xác_thực bằng tin nhắn SMS ] , sẽ nhanh hơn đấy .",59,Không liên quan
2,"Những người hâm_mộ Gaseyeon bị chặn nhầm do chặn các bình_luận gây_rối , hãy đến fan cafe chính_thức của Gaseyeon , Gafancl và cho chúng_tôi biết trong thông_báo [ Thông_báo liên_quan đến chặn ] nhé .",57,Không liên quan
3,"Đồng_ý , đã nhấn .",6,Không liên quan
4,Hoàn_thành .,3,Trung lập
5,"Nhìn quần_áo thì giống với mấy tấm ảnh cọ má cọ má rần_rần trước_đây . Nghe_nói hồi đó Kim_Sae_Ron mới mười mấy tuổi , còn cọ má rồi hôn_hít với cả trẻ vị_thành_niên nữa . Lúc xem Good_Day thấy quý_mến vậy_mà ... Haizzz , thôi_thì huỷ quảng_cáo rồi nhận tiền phạt hợp_đồng cho đáng_đời đi .",78,Không ủng hộ
6,"Ôi trời_ơi , đồ tồi_tệ .",9,Không ủng hộ
7,"Tôi đã từng nghĩ Gaseyeon là người xấu , nhưng sau khi thấy họ tố_cáo Baek Jong-won và Kim Soo-hyun , những người có quyền_lực lớn , tôi đã phải nhìn_nhận lại .",45,Trung lập
8,Chắc_hẳn là vua_chúa thời Joseon không hẹn_hò với học_sinh cấp hai đâu nhỉ .,20,Không ủng hộ
9,Đời tôi thật đáng thương .,6,Không liên quan
10,Kim_Soo_Hyun là đồ rác_rưởi . Nghĩ đến Sae_Rom mà đau_lòng quá .,20,Không ủng hộ
