ID,Comment Text,Token Count
0,1 ông 30t yêu 1 em gái vị thành niên mà các bạn cũng bênh được tài ác,19
1,Thăng tiến không thì chưa biết . Nhưng hiện tại thì đền hợp đồng ói là chắc rồi đó .,20
2,Hết bênh được anh Sulli mới đăng status kìa,9
3,khó khôi phục duyên người qua đường,7
4,trước có 1 video tarot nói Kim soo hyun có khả năng thắng kiện cao và sự nghiệp sẽ thăng tiến tưởng bốc bừa bừa mà giờ nó cũng đúng thật ba,33
5,Rồi phim mong chờ bị đình chỉ bực thật đúng sao quả tạ rơi xuống anh,16
6,Là ảnh không sai đk ạ,7
7,Không tăng tiến được đâu nói chứ idol có quả drama chấn động nnay thì chỉ có giảm đi th còn lộ hẹn hò với Kim Sae Ron nữa mà,32
8,Ngôi sao thì lúc nào cũng sáng,7
9,tưởng 1 đống cậu vàng :,6
10,Biết ngay mà tao vẫn tin anh tao liêm,9
11,Không biết thế nào nữa thays bài báo bên hàn phân tích mà lo anh quá,17
12,team luôn tin anh liêm từ đầu,7
13,Tự nhiên không phải fan xong giờ hiện nhiều quá làm tui quan tâm đến Kim Soo Hyun,18
14,Người lọc fan thành công nhất Kbiz,8
15,Tao tiếc cp của Tao thui,6
16,"Dù đúng dù sai người đề hợp đồng vẫn là ổng . Còn cộng động mạng đúng thì xin lỗi là xong , còn sai thì chửi tiếp",28
17,Team U30 nè,4
18,"không uổng công tui comment chưởi lộn mấy nay trên phở bò, bảnh chả làm gì sai cả",21
19,Bạn người yêu cũ lấy Chồng rồi còn bắt trách nhiệm gia đình sợ thật,15
20,"là lọc fan thì có, mình phe Kim soo hyun ngay từ đầu",14
21,Từ đầu đến cuối mình vẫn tin zai,8
22,ý là từ đầu không thích ông này nhưng mà sau drama thì tao có thiện cảm ít nhiều =,20
23,Người không comment hay gì hết im từ đầu và vẫn tin anh,13
24,ngay từ đầu tao đã chọn im lặng rồi và theo dõi anh chưa bao giờ unfolow gu nhìn người tao vẫn nét lắm,26
25,Vụ này mà liêm thật là ra đường làm vua luôn,11
26,Ra đời em nể mỗi anh,6
27,lật được là ra đời em chỉ nể mỗi anh,10
28,"Cái tướng đẹp ghê, xin vía body cho con trai tui",12
29,+1 âm thầm bên anh,5
30,Tao không phải fan mà từ đầu tao vẫn tỉnh,10
31,+1 từ đầu đến cuối luôn phe anh,8
32,Ra đời em nể mỗi anh,6
33,"Tin anh từ đầu vụ này , bỏ qua những lời người ta nói",14
34,mãi ủng hộ anh,4
35,Đời này em nể mỗi anh,6
36,Tin tưởng anh từ đầu,5
37,"sao xài từ ""nếu"" vậy",8
38,"Tui tin anh tui, luôn đứng về anh Kim soo hyun",13
39,"Team lý trí, thực tế nè",7
40,tội anh thật giờ qua hợp tác với J79 .IN thôi,13
41,Tin ảnh từ đầu nè,5
42,ê tao thấy Kim soo hyun sai mà trời-sai đẹp triêu,15
43,bao giờ có phim mới vậy ạ,7
44,không thoát fan vì vụ này nhưng thoát fan vì vụ khác,12
45,"Mình không fan ai cả thấy cả 2 đều đẹp,thích cả 2,tiếc cho bạn gái đó",20
46,liêm sắc liếm à liêm được mỗi vụ bị vu khống còn cái mồm cả cái đầu bay hơi xa,20
47,Bên Hàn có quan tâm đúng sai đâu Cứ phốt to to tí là ăn đòn Kể ra cũng ảo ma.,22
48,"Thắng nhưng danh tiếng không quay lại, nhãn hành quay lưng, giờ chỉ còn fan trung thành thôi",22
49,bênh được tao củng đến ạ,6
50,nhớ vụ Jonny deep,6
51,Ở Vn mấy nhỏ gặp mấy anh vậy khoái lắm quen chu cấp cái tụi nó nói tình yêu không quan trọng tuổi tác.,26
52,Anh liêm mà,3
53,không fan cũng biết ổng liêm,6
54,Thích vế sau,3
55,"nhưng bên Hàn không cần đúng hay sai ,chỉ nghe một phía không cần suy xét mà đã mẵc đĩnh bạn ấy có lỗi.",29
56,sau những vụ việc gần đây đặc biệt là drama anh này mình đã dần hiểu tại sao Phương Nhi gả vào nhà bác Vượng lại cần xoá hết mạng xã hội,32
57,còn tao tin anh từ đầu đến giờ nò,10
58,"+1 máy only, đáp trả anti từ lúc mới xảy ra scandal",14
