ID,Comment Text,Label,Token Count
0,"Drama showbiz Hàn đúng là không ai lường trước được! Chuyện riêng tư mà bị đào bới thế này thì ai mà chịu nổi. Hóng drama thì hóng nhưng đừng quên anh ý vẫn là một diễn viên tài năng. Còn cái đám ""anh hùng bàn phím"" với ""thánh soi"" thì bớt bớt lại hộ cái!",Ủng hộ,69
1,"Rồi rồi, lại thêm một ""con cừu đen"" bị lôi ra tế thần! Khổ thân anh tôi, đẹp trai cũng là cái tội à?",Ủng hộ,34
2,"Đúng là anh tôi số hưởng, toàn được các em xinh đẹp chủ động thôi.",Ủng hộ,19
3,"Đến chịu với mấy thánh soi mói! Anh tôi đóng phim thì lo mà xem đi, hết chuyện hay sao mà xía vào đời tư người ta dữ vậy? Rảnh quá thì ra đường nhặt rác hộ cái.",Ủng hộ,46
4,"Chuyện showbiz phức tạp thật, chỉ người trong cuộc mới hiểu. Ai cũng có quá khứ cả, quan trọng là hiện tại và tương lai thôi. Fighting Kim Soo Hyun!",Ủng hộ,37
5,"Thôi nào mọi người, đừng vội vàng phán xét! Showbiz phức tạp lắm, chưa biết ai đúng ai sai đâu. Ủng hộ anh Soo Hyun vượt qua giai đoạn khó khăn này. Fighting!",Ủng hộ,45
6,"Đọc xong chỉ thấy thương anh tôi, sống mà cứ như đóng phim trinh thám vậy.",Ủng hộ,20
7,"Thôi đi mấy má ơi, người ta là Kim Soo Hyun đó, bớt soi mói lại dùm cái! Anh tôi đóng phim đỉnh thế còn chưa đủ à? Để yên cho người ta thở đi!",Ủng hộ,42
8,"Mấy người rảnh quá, để anh Soo Hyun người ta yên đi! Chắc gì thông tin kia đã là sự thật. Tin Dispatch thì ăn cám à?",Ủng hộ,31
9,"Rồi rồi, hiểu mà, chuyện riêng tư người ta soi mói làm gì. Quan trọng anh vẫn đỉnh trên phim là được!",Ủng hộ,29
10,"Drama nhiều quá, thôi thì cứ ủng hộ diễn xuất đỉnh cao của Kim Soo Hyun đã. Mấy chuyện khác để người ta tự giải quyết.",Ủng hộ,31
11,"Thuyền chìm thì vẫn còn thuyền viên, ủng hộ anh Soo Hyun vực lại sự nghiệp. Đời tư của nghệ sĩ có cần phải soi mói đến thế không?",Ủng hộ,34
12,"Drama nhiều như phim, nhưng vẫn tin anh tôi! Hóng phim mới hơn là hóng phốt.",Ủng hộ,22
13,"Ủa rồi sao, hoàng tử thì cũng là người mà. Cứ để anh tôi yên đi có được không? Drama riết rồi chán.",Ủng hộ,30
14,"Ủng hộ ai, bênh vực ai thì đợi kết luận cuối cùng rồi tính. Đừng vội vàng ném đá anh tôi! Showbiz mà, có gì không thể xảy ra đâu.",Ủng hộ,37
15,"Đời tư nghệ sĩ mà cũng săm soi dữ vậy? Thôi thì kệ anh Soo Hyun, diễn hay là được rồi. Mấy chuyện khác để ảnh tự lo đi, anti-fan rảnh quá.",Ủng hộ,39
