ID,Comment Text,Label,Token Count
0,"Tội người tài, đúng là làm gì cũng bị soi, rồi sau này sao có ai dám dính vào nghiệp diễn viên nữa để còn đem tài cho thiên hạ đâyyyy huhu.",Ủng hộ,42
1,Bao lâu mới thấy anh Soo Hyun đóng phim mới vậy? Có người bịa chuyện là cơ hội hay sao? Sủng bạn vẫn vậy thôi.,Ủng hộ,30
2,"Ôi, dạo này mấy người lại thích drama ấy nhỉ? Cơ mà xem góc độ đạo đức thì có thể khác, nhưng nếu nói về yếu tố truyền miệng và danh tiếng thì… Anh Kim Soo Hyun cứ yên tâm oanh tạc thôi! Fan vẫn luôn ở đây nhé, anh đóng phim hay thế cơ mà, nói chung cái tên quen mặt đã ăn vào tiềm thức rồi. #kimsoohyun",Ủng hộ,87
3,Ông chú vẫn phong độ ngời ngời! Kệ lũ drama đi làm thêm đi nhé các má!,Ủng hộ,21
4,"Eo, tin ai? Tin trai tài thôi chứ ai thèm quan tâm mấy ""ngọa thư long phượng"" ngoài kia :",Ủng hộ,29
5,Sau drama đến nay em biết tin anh ở đâu có mặt là auto xin vé : Lo mà chuẩn bị dự án bùng nà anh ơi,Ủng hộ,28
6,"Thật sự khó tin những gì anh ấy phải đối mặt gần đây. Dù thế nào, anh là một diễn Kim Sung của thế giới rồi còn gì! Sóng gió này tôi tin chỉ làm anh thêm tỏa sáng.",Ủng hộ,46
7,Thật tiếc khi thấy chuyện này. Công ty hành xử không đẹp xíu nào nha. Chắc Soohyun vẫn chất đến mức mọi người cứ túm vào mới ghê. Tao yêu chú <3 Yêu style dứt khoát rồi né tránh những câu lằng nhằng,Ủng hộ,49
8,"Ngôi sao mà, sóng gió showbiz thiếu gì... Mấy ""giếng"" kia vẫn còn phải cảm ơn Kim mà kéo fame giùm í chứ. Kim Soo Hyun đỉnh!",Ủng hộ,38
9,"Tôi thấy anh rất ngầu đấy chứ, ở trong showbiz thì tai bay vạ gió là thường thôi ạ. Cứ tiếp tục những con đường anh đã chọn nhé idol!",Ủng hộ,34
10,"Ông anh làm phim chất thật, cứ để mấy chuyện vặt vãnh lo hộ, tập trung mà ra ""Queen of Tears"" phần twoooooo",Ủng hộ,34
11,Ôi giời! Tội anh Hyun ghê. Kệ thiên hạ muốn nói gì thì nói chứ đã có ai chịu nghe anh giải thích đầy đủ đâu. Sẵn sàng là một Fan trung thành dài lâu luôn,Ủng hộ,40
12,"Ôi thôi, làm sao tui tin mấy cái tin ba xàm trên mạng cho được. Anh Hyun vẫn đỉnh mà cần gì phải bon chen scandal vô duyên vậy chời! Khổ thân, lại bị lợi dụng rồi.",Ủng hộ,48
13,"Xem ra cũng hiểu được phần nào áp lực của anh, thôi thì cố mà vượt qua đi nhé!",Ủng hộ,22
14,"Ôi trời, drama Hàn kiểu này, chê một thì tiếc ba, Kim Soo Hyun cũng có chút vận đen nhỉ. Mong mọi chuyện sớm sáng tỏ.",Ủng hộ,34
15,"Thích cách anh nhà ứng xử dứt khoát, sống sai thì thị trường trả giá thôi ai cũng vậy mà. Mong mọi việc sẽ nhanh chóng qua đi để ngắm anh trên màn ảnh.",Ủng hộ,38
16,"Chả hiểu gì đến đây, chắc anh em dọn mâm ăn giỗ tốn kém đây. Khổ. Thôi thì mong ông đừng để nhà báo nó dắt mũi nữa là được!",Ủng hộ,35
17,"Soo Hyun oppa đỉnh của chóp nhá. Ai làm idol mà không có va chạm chút Drama như cơn gió thoảng qua thôi mà, lên phim luôn!",Ủng hộ,35
18,"Anh em, mấy người nhớ lúc đóng ""Điên Thì Có Sao"" không? Xém chút là thành đôi thật rồi còn gì= Cơ mà giờ tình cảnh này... tôi lại thấy thương anh Hyun ghê, chắc hẳn là giai đoạn anh cần ủng hộ nhất . Bàn dân thiên hạ chỉ nhìn bề nổi nhỉ? Hãy để thời thời gian chứng minh nhé!",Ủng hộ,77
19,"Ôi giời, người ta làm ăn còn khó hơn mình. Đang yên đang lại thành ""người dưng khác họ” mới đau chớ! Cắt vài cái hợp đồng vậy chứ chả ảnh hưởng gì tầm cỡ quốc dân như anh đâu hahaha. Cứ diễn tiếp phim mới cho dân tình còn có ""cái"" xem đó .",Ủng hộ,68
20,"Sau bao nhiêu biến cố, tôi chắc rằng anh ấy cần một kỳ nghỉ để trấn tĩnh thôi chứ giờ thì drama này sắp quên lạnh rồi. Ai rồi cũng phải bước tiếp thôi và cần sự chuyên nghiệp ủng hộ từ anh.",Ủng hộ,47
21,"""Tui thấy anh Hyun đỉnh sẵn rồi mà , drama vừa thêm độ phủ sóng thôi ýyy""",Ủng hộ,21
22,"Chà, giờ tung tin gì hot vại? Kim soo hyun phong độ vẫn đấy nhỉ, lại có phim hay để hóng thôi. Quan trọng là gu mình vẫn cứ là của anh :joy:, diễn xuất đỉnh mà ai làm gì được nhau =]] mình cứ thích diễn viên ""gê gớm"" mới ra trò á. Tiếc chuyện xích mít này thôi chứ mấy chuyện bộc phát nghệ sĩ vẫn cuốn hút mình hơn :",Ủng hộ,91
23,"Ai cũng có một quá khứ nhỉ? Quan trọng là tương lai chất lượng thế nào thôi. #KimSooHyun Tiếp tục cháy hết mình trên màn ảnh nhé anh ơi! ""Khéo che, lại khéo bày,... ai lại tin một đám 'tay ngang rảnh chuyện.'"" Anh KimSoH vẫn vậy, đỉnh!",Ủng hộ,72
24,Cứ coi như anh đẹp đã lỡ vướng lưới một người có chút sai sót trong quá khứ thôi. Càn quét showbiz thế này chắc đủ gây ấn tượng đó! Fan vẫn yêu thương nha,Ủng hộ,38
25,Người đàn ông này chắc bị cả drama đổ xuống đầu vậy? Khổ thân. Nhắn tin Telegram với ai chẳng được? Lần này thì xác định.,Ủng hộ,33
26,"Ôi thôi, ""tổng tài"" quốc dân của tui phải vượt bao nhiêu thử thách mới trụ vững. Đói con tôm ăn con tép, mình xem phim là chính nha, chuyện của họ sao quản... thôi cứ thích mê mấy phim ảnh đã đóng",Ủng hộ,54
27,"Ủng hộ anh cứ chill đi, bão nào rồi cũng tan thôi mà. Nghèo tựa Kim Sae Ron vậy ai cũng lôi đầu ra moi, thế mới thấy showbiz khắc nghiệt cỡ nào",Ủng hộ,40
28,"Anh đã đẹp trai lại còn đào hoa kiểu đấy thì ai mà chịu nổi. Cơ mà dù sao scandal vẫn là scandal, tôi vẫn hóng ảnh tái xuất thôi í !",Ủng hộ,36
29,"Ôi, mấy người lôi thôi, anh Kiên nhà tui phong thái vẫn chất ngất giữa tâm bão. Cái gì đã qua, đã phai, mấy cha nội cứ xào nấu lại. Kim Soo Hyun mãi đỉnh nha.",Ủng hộ,46
30,"Kim Soo Hyun đỉnh cao diễn xuất còn gì, scandal này chỉ là muỗi đốt inox thôi! Tiếc thay cho bọn ăn theo không có cửa. Anh vẫn luôn cháy hết mình trên mọi concept!",Ủng hộ,43
31,"Ủa thì có ai điều tra sâu hơn rồi chứng minh anh là tội phạm đâu mà nhãn hàng còn ngạichạy trước rồi nhỉ. Hay anh giỏi quá, người ta ghen ăn tức ở, chơi lại. Đang đợi xem phim mới đây này.",Ủng hộ,53
32,"Dù anh đã từng nói sai sự thật tôi vẫn cứ thích nhìn cái mặt đó của anh, đóng vai ác còn được. Không thích mấy người đạo đức giả đâu.",Ủng hộ,34
33,"Sao giờ nhiều người sốt sắng chuyện người khác thế nhỉ? Anh em tốt đôi khi rắc rối thế đấy! Miễn ai hiểu là được. Drama gì chứ, Kim Soo Hyun vẫn đỉnh trong lòng tôi.",Ủng hộ,44
34,"Tội nghiệp anh Hyun, toàn gặp xui thôi. Mấy tin hành lang toàn thổi phồng. Anh cứ thoải mái đi nào!",Ủng hộ,26
