ID,Comment Text,Label
1,"Drama showbiz Hàn đúng là không ai lường trước được! Chuyện riêng tư mà bị đào bới thế này thì ai mà chịu nổi. Hóng drama thì hóng nhưng đừng quên anh ý vẫn là một diễn viên tài năng. Còn cái đám ""anh hùng bàn phím"" với ""thánh soi"" thì bớt bớt lại hộ cái!",Ủng hộ
2,"Rồi rồi, lại thêm một ""con cừu đen"" bị lôi ra tế thần! Khổ thân anh tôi, đẹp trai cũng là cái tội à?",Ủng hộ
3,"Đúng là anh tôi số hưởng, toàn được các em xinh đẹp chủ động thôi. 💅",Ủng hộ
4,"Đến chịu với mấy thánh soi mói! Anh tôi đóng phim thì lo mà xem đi, hết chuyện hay sao mà xía vào đời tư người ta dữ vậy? Rảnh quá thì ra đường nhặt rác hộ cái.",Ủng hộ
5,"Chuyện showbiz phức tạp thật, chỉ người trong cuộc mới hiểu. Ai cũng có quá khứ cả, quan trọng là hiện tại và tương lai thôi. Fighting Kim Soo Hyun!",Ủng hộ
6,"Thôi nào mọi người, đừng vội vàng phán xét! Showbiz phức tạp lắm, chưa biết ai đúng ai sai đâu. Ủng hộ anh Soo Hyun vượt qua giai đoạn khó khăn này. Fighting!",Ủng hộ
7,"Đọc xong chỉ thấy thương anh tôi, sống mà cứ như đóng phim trinh thám vậy.",Ủng hộ
8,"Thôi đi mấy má ơi, người ta là Kim Soo Hyun đó, bớt soi mói lại dùm cái! Anh tôi đóng phim đỉnh thế còn chưa đủ à? Để yên cho người ta thở đi!",Ủng hộ
9,"Mấy người rảnh quá, để anh Soo Hyun người ta yên đi! Chắc gì thông tin kia đã là sự thật. Tin Dispatch thì ăn cám à?",Ủng hộ
10,"Rồi rồi, hiểu mà, chuyện riêng tư người ta soi mói làm gì. Quan trọng anh vẫn đỉnh trên phim là được!",Ủng hộ
11,"Drama nhiều quá, thôi thì cứ ủng hộ diễn xuất đỉnh cao của Kim Soo Hyun đã. Mấy chuyện khác để người ta tự giải quyết.",Ủng hộ
12,"Thuyền chìm thì vẫn còn thuyền viên, ủng hộ anh Soo Hyun vực lại sự nghiệp. Đời tư của nghệ sĩ có cần phải soi mói đến thế không?",Ủng hộ
13,"Drama nhiều như phim, nhưng vẫn tin anh tôi! Hóng phim mới hơn là hóng phốt.",Ủng hộ
14,"Ủa rồi sao, hoàng tử thì cũng là người mà. Cứ để anh tôi yên đi có được không? Drama riết rồi chán.",Ủng hộ
15,"Ủng hộ ai, bênh vực ai thì đợi kết luận cuối cùng rồi tính. Đừng vội vàng ném đá anh tôi! Showbiz mà, có gì không thể xảy ra đâu.",Ủng hộ
16,"Đời tư nghệ sĩ mà cũng săm soi dữ vậy? Thôi thì kệ anh Soo Hyun, diễn hay là được rồi. Mấy chuyện khác để ảnh tự lo đi, anti-fan rảnh quá.",Ủng hộ
17,"Drama gì căng thế, thuyền này chắc chắn không lật được đâu. KSH fighting!",Ủng hộ
18,"Ủng hộ anh Soo Hyun hết mình! Mấy thánh soi mói tha cho anh đi, drama mệt mỏi quá rồi.",Ủng hộ
19,"Mấy thánh phán xét cứ làm như mình thánh thiện lắm ấy! Người ta là diễn viên, không phải thánh nhân. Bớt soi mói cuộc sống riêng tư đi, tập trung mà làm việc đi kìa!",Ủng hộ
20,"Mấy bạn rảnh quá ha, người ta đóng phim bao nhiêu năm không thấy ai quan tâm, dính tí drama là nhào vô xâu xé. Lo sống cuộc đời mình đi kìa!",Ủng hộ
21,"Ủa rồi sao, người ta là Kim Soo Hyun đó, cần gì mấy người phán xét? Anh ấy đóng phim hay là đủ rồi!",Ủng hộ
22,Ủa rồi ai là người tổn thương nhất trong chuyện này? Sao lại quay lưng với Soo Hyun vậy? Anh ấy diễn xuất đỉnh mà!,Ủng hộ
23,"Thuyền ai nấy giữ, sông sâu cá lội, kệ thiên hạ đồn thổi đi! Anh nhà tôi vẫn cứ đỉnh!",Ủng hộ
24,"Thuyền ai nấy chèo, đừng đẩy thuyền người ta lật!",Ủng hộ
