ID,Comment Text,Label
1,"Tội người tài, đúng là làm gì cũng bị soi, rồi sau này sao có ai dám dính vào nghiệp diễn viên nữa để còn đem tài cho thiên hạ đâyyyy huhu.",Ủng hộ
2,Bao lâu mới thấy anh Soo Hyun đóng phim mới vậy? Có người bịa chuyện là cơ hội hay sao? Sủng bạn vẫn vậy thôi.,Ủng hộ
3,"Ôi, dạo này mấy người lại thích drama ấy nhỉ? Cơ mà xem góc độ đạo đức thì có thể khác, nhưng nếu nói về yếu tố truyền miệng và danh tiếng thì… Anh Kim Soo Hyun cứ yên tâm oanh tạc thôi! Fan vẫn luôn ở đây nhé, anh đóng phim hay thế cơ mà, nói chung cái tên quen mặt đã ăn vào tiềm thức rồi. #kimsoohyun",Ủng hộ
4,Ông chú vẫn phong độ ngời ngời! Kệ lũ drama đi làm thêm đi nhé các má!,Ủng hộ
5,"Eo, tin ai? Tin trai tài thôi chứ ai thèm quan tâm mấy ""ngọa thư long phượng"" ngoài kia :)))",Ủng hộ
6,Sau drama đến nay em biết tin anh ở đâu có mặt là auto xin vé :))) Lo mà chuẩn bị dự án bùng nà anh ơi 🔥,Ủng hộ
7,"Thật sự khó tin những gì anh ấy phải đối mặt gần đây. Dù thế nào, anh là một diễn Kim Sung của thế giới rồi còn gì! Sóng gió này tôi tin chỉ làm anh thêm tỏa sáng.",Ủng hộ
8,Thật tiếc khi thấy chuyện này. Công ty hành xử không đẹp xíu nào nha. Chắc Soohyun vẫn chất đến mức mọi người cứ túm vào mới ghê. Tao yêu chú <3 Yêu style dứt khoát rồi né tránh những câu lằng nhằng,Ủng hộ
9,"Ngôi sao mà, sóng gió showbiz thiếu gì... Mấy ""giếng"" kia vẫn còn phải cảm ơn Kim mà kéo fame giùm í chứ. Kim Soo Hyun đỉnh!",Ủng hộ
10,"Tôi thấy anh rất ngầu đấy chứ, ở trong showbiz thì tai bay vạ gió là thường thôi ạ. Cứ tiếp tục những con đường anh đã chọn nhé idol!",Ủng hộ
